"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y18h3090336p01",30,90336,4868,61,"female",18,20462,"Work",232.27,232.27,"walking",0.166666666666667,0.64,"weekday",3,"40 to 64","<1km","walking",0.64,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090336p01",30,90336,4868,61,"female",18,20463,"Work",232.27,232.27,"walking",0.333333333333333,1.72,"weekday",4,"40 to 64","1-2km","walking",1.72,0.333333333333333,2.33333333333333,2.33333333333333
"y18h3090336p02",30,90336,4869,60,"female",18,20464,"Work",232.27,281.79,"car",0.333333333333333,12.38,"weekday",1,"40 to 64",">10km","car",12.38,0.333333333333333,2.33333333333333,2.33333333333333
"y18h3090336p02",30,90336,4869,60,"female",18,20465,"Work",232.27,281.79,"car",0.5,12.53,"weekday",2,"40 to 64",">10km","car",12.53,0.5,3.5,3.5
"y18h3090338p01",30,90338,4870,51,"female",18,20466,"Other",239.76,328.52,"car",0.416666666666667,3.63,"weekday",1,"40 to 64","3-5km","car",3.63,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20467,"Other",239.76,328.52,"car",0.25,3.87,"weekday",2,"40 to 64","3-5km","car",3.87,0.25,1.75,1.75
"y18h3090338p01",30,90338,4870,51,"female",18,20468,"Shopping",239.76,328.52,"walking",0.416666666666667,1.13,"weekday",3,"40 to 64","1-2km","walking",1.13,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20469,"Shopping",239.76,328.52,"walking",0.416666666666667,1.13,"weekday",4,"40 to 64","1-2km","walking",1.13,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20470,"Work",239.76,328.52,"car",0.1,0.71,"weekday",5,"40 to 64","<1km","walking",0.71,0.1775,0.7,1.2425
"y18h3090338p01",30,90338,4870,51,"female",18,20471,"Work",239.76,328.52,"walking",0.383333333333333,0.71,"weekday",6,"40 to 64","<1km","walking",0.71,0.383333333333333,2.68333333333333,2.68333333333333
"y18h3090338p01",30,90338,4870,51,"female",18,20472,"Other",239.76,328.52,"car",0.416666666666667,5.33,"weekday",7,"40 to 64","6-10km","car",5.33,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20473,"Other",239.76,328.52,"car",0.416666666666667,4.72,"weekday",8,"40 to 64","3-5km","car",4.72,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20474,"Leisure",239.76,328.52,"car",0.166666666666667,1.63,"weekday",9,"40 to 64","1-2km","car",1.63,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090338p01",30,90338,4870,51,"female",18,20475,"Leisure",239.76,328.52,"car",0.0833333333333333,1.45,"weekday",10,"40 to 64","1-2km","car",1.45,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090338p02",30,90338,4871,48,"male",18,20476,"Other",280.45,280.45,"car",0.25,5.33,"weekday",1,"40 to 64","6-10km","car",5.33,0.25,1.75,1.75
"y18h3090338p02",30,90338,4871,48,"male",18,20477,"Other",280.45,280.45,"car",0.4,4.72,"weekday",2,"40 to 64","3-5km","car",4.72,0.4,2.8,2.8
"y18h3090338p02",30,90338,4871,48,"male",18,20478,"Other",280.45,280.45,"car",0.416666666666667,3.63,"weekday",3,"40 to 64","3-5km","car",3.63,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p02",30,90338,4871,48,"male",18,20479,"Other",280.45,280.45,"car",0.25,3.87,"weekday",4,"40 to 64","3-5km","car",3.87,0.25,1.75,1.75
"y18h3090338p02",30,90338,4871,48,"male",18,20480,"Shopping",280.45,280.45,"walking",0.416666666666667,1.13,"weekday",5,"40 to 64","1-2km","walking",1.13,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p02",30,90338,4871,48,"male",18,20481,"Shopping",280.45,280.45,"walking",0.416666666666667,1.13,"weekday",6,"40 to 64","1-2km","walking",1.13,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090338p02",30,90338,4871,48,"male",18,20482,"Other",280.45,280.45,"car",0.0833333333333333,0.71,"weekday",7,"40 to 64","<1km","car",0.71,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090338p02",30,90338,4871,48,"male",18,20483,"Other",280.45,280.45,"car",0.0833333333333333,0.74,"weekday",8,"40 to 64","<1km","car",0.74,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090339p01",30,90339,4872,68,"female",18,20484,"Work",237.02,237.02,"car",0.0833333333333333,1.53,"weekday",1,"65 plus","1-2km","bicycle",1.53,0.139090909090909,0.583333333333333,0.973636363636364
